Date,USD,BOV
3/5/2018,3.2496,86.02283
3/6/2018,3.241,85.65302
3/7/2018,3.208,85.48355
3/8/2018,3.2429,84.98461
3/9/2018,3.2661,86.37141
3/12/2018,3.2561,86.90043
3/13/2018,3.2603,86.38385
3/14/2018,3.2587,86.05096
3/15/2018,3.2585,84.9282
3/16/2018,3.2821,84.88649
3/19/2018,3.2801,83.91306
3/20/2018,3.2841,84.1638
3/21/2018,3.3087,84.97659
3/22/2018,3.2727,84.76788
3/23/2018,3.3141,84.37719
3/26/2018,3.3145,85.08786
3/27/2018,3.3103,83.80806
3/28/2018,3.3229,83.87414
3/29/2018,3.3193,85.36556
4/2/2018,3.302,84.66644
4/3/2018,3.3094,84.62346
4/4/2018,3.3394,84.35969
4/5/2018,3.3277,85.20966
4/6/2018,3.3416,84.82042
4/9/2018,3.3675,83.30723
4/10/2018,3.421,84.51036
4/11/2018,3.4073,85.24559
4/12/2018,3.3731,85.44353
4/13/2018,3.411,84.33441
4/16/2018,3.4243,82.86158
4/17/2018,3.4161,84.08613
4/18/2018,3.4058,85.77646
4/19/2018,3.3771,85.82426
4/20/2018,3.3827,85.55009
4/23/2018,3.4137,85.6025
4/24/2018,3.4489,85.46908
4/25/2018,3.4715,85.04439
4/26/2018,3.4809,86.3832
4/27/2018,3.4742,86.44466
4/30/2018,3.4581,86.1155
5/2/2018,3.5061,84.54709
5/3/2018,3.5496,83.28814
5/4/2018,3.5266,83.11803
5/7/2018,3.5255,82.71443
5/8/2018,3.5492,82.95605
